Node	x_coordinates	y_coordinates	nominal_demand	demand_varition

Main depot:
0	 18.37 		-66.00		0	0

Satellite:
1	18.23045	-65.8957	0	0
2	18.42878	-66.65266	0	0
3	18.0389		-67.16445714	0	0
4	18.48085	-67.0271	0	0
5	18.2003		-67.1397	0	0
6	18.2257		-66.3916	0	0
7	18.06470714	-66.607	0	0
8	18.00124286	-66.25228571	0	0
9	18.4037		-66.0636	0	0
10	18.05778333	-65.8813	0	0
				
Customer:
11	18.18156	-66.758147	2	0.7
12	18.358577	-67.174708	3	0.722
13	18.452658	-67.125609	4	0.851
14	18.492624	-67.096282	3	0.758
15	18.248401	-66.130662	2	1
16	18.129715	-66.266406	2	0.762
17	18.293389	-67.12067	2	1
18	18.412693	-66.703445	2	0.783
19	18.40367	-66.664759	2	0.541
20	18.452224	-66.603112	2	0.271
21	18.382061	-66.619218	2	0.133
22	17.995867	-66.055529	3	0.9
23	18.437505	-66.559407	3	0.875
24	18.050377	-66.495548	2	0.778
25	18.319539	-66.16889	5	0.186
26	18.368533	-66.187693	8	0.643
27	18.382818	-66.154751	8	0.489
28	18.411177	-66.158209	7	0.352
29	17.988103	-67.160357	2	0.247
30	18.082397	-67.151152	2	0.904
31	18.214723	-66.054737	4	0.466
32	18.029147	-66.665621	4	0.522
33	18.41503	-66.861879	2	0.647
34	18.025316	-66.620976	8	0.897
35	18.438709	-65.999474	6	0.22
36	18.415125	-65.995854	7	0.346
37	18.414757	-65.975487	9	0.562
38	18.354723	-65.939382	4	0.097
39	18.375884	-65.964094	6	0.27
40	18.441934	-66.145498	6	0.571
41	18.217753	-65.770613	3	0.783
42	18.104923	-66.151525	2	0.75
43	18.015522	-66.258052	2	0.296
44	18.191074	-66.613308	2	0.846
45	18.23426	-65.732493	5	0.963
46	18.438969	-65.905174	3	0.864
47	18.30391	-66.326179	2	0.889
48	18.010626	-66.134578	2	0.864
49	18.435949	-66.278379	3	0.711
50	18.174611	-66.163688	3	0.944
51	18.15838	-65.767181	2	0.774
52	18.349453	-66.578059	2	1
53	17.965557	-66.945483	2	0.437
54	17.995409	-66.990374	2	0.824
55	18.144021	-65.817887	3	0.933
56	18.037037	-66.79272	2	0.6
57	18.411812	-66.121215	2	0.598
58	18.425004	-66.121281	6	0.387
59	18.400335	-66.114661	7	0.5
60	18.407775	-66.101312	7	0.447
61	18.368624	-66.108963	8	0.598
62	18.318375	-66.119257	4	0.125
63	18.094013	-66.565902	2	0.727
64	18.407397	-66.794979	2	0.759
65	18.135593	-67.113645	3	0.9
66	18.345798	-65.812326	2	0.864
67	18.199014	-66.309782	2	0.844
68	18.460356	-67.007868	2	0.882
69	18.210897	-66.586977	2	1
70	18.465424	-66.104723	8	0.727
71	18.272581	-65.981177	3	0.826
72	18.016871	-67.037189	2	0.895
73	18.278219	-66.866712	2	1
74	18.227596	-66.97758	2	0.889
75	18.346218	-65.72316	2	1
76	18.224133	-65.908542	3	1
77	18.419693	-66.486784	3	0.846
78	18.173904	-66.935931	2	0.857
79	18.017565	-65.921093	2	0.8
80	18.208105	-67.102535	3	0.917
81	18.183507	-67.155673	5	0.824
82	18.377751	-67.080344	2	0.235
83	18.318386	-66.418034	2	0.895
84	18.23201	-65.756036	2	0.952
85	18.289927	-66.25344	3	0.957
86	18.215975	-66.433971	2	0.867
87	18.029841	-66.017073	2	0.938
88	18.060879	-66.721106	2	0.842
89	17.995814	-66.562351	2	0.009
90	17.987761	-66.619442	4	0.136
91	18.00331	-66.613534	9	0.602
92	18.336124	-65.886392	3	0.079
93	18.103874	-66.6246	2	0.025
94	18.251473	-65.667381	2	0.034
95	18.227881	-66.225428	2	0.037
96	18.435389	-66.922625	3	0.8
97	18.33256	-67.227006	3	0.933
98	18.147107	-65.976167	2	0.932
99	18.083		-66.943336	2	0.714
100	17.969419	-66.224316	3	0.897
101	17.993033	-66.390419	2	0.897
102	18.107796	-67.037256	2	0.72
103	18.464628	-66.101015	13	0.456
104	18.451642	-66.083896	9	0.196
105	18.440945	-66.067285	9	0.208
106	18.451156	-66.057409	12	0.391
107	18.445621	-66.060692	13	0.439
108	18.450154	-66.043647	14	0.51
109	18.43732	-66.047551	14	0.485
110	18.4205		-66.050674	10	0.32
111	18.421474	-66.067762	8	0.134
112	18.418443	-66.088935	7	0.095
113	18.391715	-66.086408	10	0.259
114	18.410804	-66.037358	11	0.304
115	18.397636	-66.014388	10	0.226
116	18.400468	-66.050494	10	0.264
117	18.346846	-66.056617	7	0.094
118	18.397628	-66.065611	8	0.141
119	18.336577	-66.974579	2	1
120	18.126651	-66.47523	2	0.857
121	18.364556	-66.244669	4	0.833
122	18.429005	-66.213373	5	0.628
123	18.428675	-66.183255	9	0.685
124	18.337063	-66.000204	5	0.264
125	18.269555	-66.70521	2	0.915
126	18.436096	-66.336263	2	0.952
127	18.422953	-66.397133	3	0.926
128	18.069388	-65.896526	2	1
129	18.1038		-66.357586	2	0.889
130	18.187201	-65.871196	3	1
